Local time,Open,High,Low,Close,Volume,Next Open
2003-07-21,1.13391,1.13713,1.13044,1.13285,1254297.8849,1.13197
2003-07-22,1.13197,1.14882,1.13119,1.14724,1272355.2092,1.14765
2003-07-23,1.14765,1.15091,1.14220,1.14665,1268987.7970000003,1.14679
2003-07-24,1.14679,1.15477,1.14425,1.15049,1278273.3166000003,1.15049
2003-07-25,1.15049,1.15049,1.15049,1.15049,0,1.15049
2003-07-27,1.15014,1.15172,1.14511,1.14879,1276345.8029000002,1.14877
2003-07-28,1.14877,1.15365,1.14502,1.14559,1275433.4999999998,1.14502
2003-07-29,1.14502,1.14600,1.13338,1.13396,1263519.4005,1.13367
2003-07-30,1.13367,1.13709,1.12222,1.12398,1266967.7947,1.12350
2003-07-31,1.12350,1.12706,1.11338,1.12531,1216925.2034,1.12531
2003-08-01,1.12531,1.12531,1.12531,1.12531,0,1.12531
2003-08-03,1.12773,1.13734,1.12564,1.13540,1272231.1973,1.13543
2003-08-04,1.13543,1.13966,1.13054,1.13863,1279489.5118000002,1.13797
2003-08-05,1.13797,1.14250,1.13238,1.13291,1270227.5977000003,1.13245
2003-08-06,1.13245,1.14138,1.13173,1.13702,1273274.2207999998,1.13646
2003-08-07,1.13646,1.13817,1.12861,1.13053,1261236.6993,1.13053
2003-08-08,1.13053,1.13053,1.13053,1.13053,0,1.13053
2003-08-10,1.12882,1.13788,1.12615,1.13552,1242761.9102,1.13518
2003-08-11,1.13518,1.13709,1.12745,1.12800,1335296.7209,1.12767
2003-08-12,1.12767,1.13302,1.12169,1.13190,1354644.4884000001,1.13163
2003-08-13,1.13163,1.13365,1.12234,1.12547,1334944.6935,1.12565
2003-08-14,1.12565,1.12944,1.12396,1.12633,1301675.9081,1.12633
2003-08-15,1.12633,1.12633,1.12633,1.12633,0,1.12633
2003-08-17,1.12420,1.12675,1.11221,1.11398,1327518.6152000001,1.11415
2003-08-18,1.11415,1.11510,1.10534,1.11362,1342325.6057,1.11310
2003-08-19,1.11310,1.11462,1.10783,1.11155,1344872.7910999998,1.11123
2003-08-20,1.11123,1.11209,1.08826,1.09196,1346824.5898000002,1.09133
2003-08-21,1.09133,1.09445,1.08350,1.08731,1334104.6895999997,1.08731
2003-08-22,1.08731,1.08731,1.08731,1.08731,0,1.08731
2003-08-24,1.08496,1.09169,1.08443,1.08705,1343844.4179,1.08670
2003-08-25,1.08670,1.09080,1.07911,1.08512,1338102.2911,1.08474
2003-08-26,1.08474,1.09288,1.08303,1.08830,1340521.7911,1.08786
2003-08-27,1.08786,1.09114,1.08082,1.08781,1344437.3204999997,1.08773
2003-08-28,1.08773,1.09964,1.08678,1.09817,1348179.8927,1.09817
2003-08-29,1.09817,1.09817,1.09817,1.09817,0,1.09817
2003-08-31,1.09873,1.10125,1.09487,1.09645,1203066.6095,1.09598
2003-09-01,1.09598,1.09700,1.08014,1.08049,1320140.6975,1.08047
2003-09-02,1.08047,1.08715,1.07606,1.08444,1360730.2031999999,1.08425
2003-09-03,1.08425,1.09485,1.08050,1.09400,1353345.9141,1.09374
2003-09-04,1.09374,1.11116,1.09150,1.11019,1324495.1982000002,1.11019
2003-09-05,1.11019,1.11019,1.11019,1.11019,0,1.11019
2003-09-07,1.10973,1.11282,1.10448,1.10619,1348611.9884,1.10625
2003-09-08,1.10625,1.12390,1.10514,1.12208,1359372.8807,1.12169
2003-09-09,1.12169,1.12347,1.11608,1.12046,1365261.6815999998,1.12032
2003-09-10,1.12032,1.12695,1.11537,1.12059,1364003.012,1.12024
2003-09-11,1.12024,1.13208,1.11329,1.12883,1344504.6992999997,1.12883
2003-09-12,1.12883,1.12883,1.12883,1.12883,0,1.12883
2003-09-14,1.12675,1.13082,1.12401,1.12787,1348262.7228,1.12771
2003-09-15,1.12771,1.13165,1.11523,1.11716,1346871.3732,1.11712
2003-09-16,1.11712,1.12989,1.11366,1.12804,1340380.7793000003,1.12773
2003-09-17,1.12773,1.13414,1.12246,1.12526,1337392.3165,1.12500
2003-09-18,1.12500,1.13823,1.12363,1.13762,1353038.1016000002,1.13762
2003-09-19,1.13762,1.13762,1.13762,1.13762,0,1.13762
2003-09-21,1.14333,1.15031,1.14124,1.14572,1351829.7832999998,1.14518
2003-09-22,1.14518,1.15233,1.14348,1.14374,1350760.3106999998,1.14375
2003-09-23,1.14375,1.15034,1.14260,1.14919,1353903.9764999999,1.14881
2003-09-24,1.14881,1.15321,1.14568,1.14872,1339085.086,1.14826
2003-09-25,1.14826,1.14965,1.14385,1.14577,1340344.6113,1.14577
2003-09-26,1.14577,1.14577,1.14577,1.14577,0,1.14577
2003-09-28,1.14488,1.15980,1.13927,1.15941,1348136.9161999999,1.15940
2003-09-29,1.15940,1.17323,1.15686,1.16517,1348877.0939,1.16515
2003-09-30,1.16515,1.17278,1.16412,1.17116,1351259.1055,1.17123
2003-10-01,1.17123,1.17668,1.16596,1.16896,1349580.4980999997,1.16873
2003-10-02,1.16873,1.17193,1.15487,1.15780,1354661.2207000002,1.15780
2003-10-03,1.15780,1.15780,1.15780,1.15780,0,1.15780
2003-10-05,1.15585,1.17212,1.15309,1.17049,1337483.9864999999,1.17042
2003-10-06,1.17042,1.18098,1.16960,1.17560,1342748.209,1.17577
2003-10-07,1.17577,1.18376,1.17551,1.18062,1340032.3046,1.18027
2003-10-08,1.18027,1.18588,1.16830,1.17427,1344555.8028,1.17397
2003-10-09,1.17397,1.18461,1.17012,1.17928,1328469.1251999997,1.17928
2003-10-10,1.17928,1.17928,1.17928,1.17928,0,1.17928
2003-10-12,1.18039,1.18138,1.16512,1.17000,1334663.3944999997,1.16990
2003-10-13,1.16990,1.17638,1.15803,1.17204,1338008.6932,1.17194
2003-10-14,1.17194,1.17431,1.15889,1.16309,1350853.1153000002,1.16308
2003-10-15,1.16308,1.16942,1.15721,1.15843,1338621.3028999998,1.15790
2003-10-16,1.15790,1.16823,1.15515,1.16782,1331096.7929999998,1.16782
2003-10-17,1.16782,1.16782,1.16782,1.16782,0,1.16782
2003-10-19,1.17028,1.17270,1.16000,1.16306,1337728.9121,1.16292
2003-10-20,1.16292,1.16991,1.16152,1.16641,1335850.1152,1.16584
2003-10-21,1.16584,1.18260,1.16463,1.17981,1341351.2735,1.17951
2003-10-22,1.17951,1.18434,1.17546,1.17885,1339686.6114,1.17833
2003-10-23,1.17833,1.18546,1.17589,1.17767,1336413.2775,1.17767
2003-10-24,1.17767,1.17767,1.17767,1.17767,0,1.17767
2003-10-26,1.17726,1.17829,1.17170,1.17414,1346530.1913,1.17426
2003-10-27,1.17426,1.17491,1.16535,1.16678,1352093.5058999998,1.16685
2003-10-28,1.16685,1.17170,1.16566,1.16592,1328828.5975999997,1.16586
2003-10-29,1.16586,1.17536,1.16150,1.16215,1344278.4942,1.16212
2003-10-30,1.16212,1.16551,1.15615,1.15851,1348439.2892,1.15851
2003-10-31,1.15851,1.15851,1.15851,1.15851,0,1.15851
2003-11-02,1.15762,1.16177,1.14264,1.14544,1341625.1094,1.14557
2003-11-03,1.14557,1.15118,1.14244,1.14907,1352150.7073000001,1.14905
2003-11-04,1.14905,1.14962,1.14118,1.14352,1341841.8282,1.14375
2003-11-05,1.14375,1.14614,1.13873,1.14127,1343307.4941999998,1.14149
2003-11-06,1.14149,1.15414,1.13769,1.15269,1365805.5898000002,1.15269
2003-11-07,1.15269,1.15269,1.15269,1.15269,0,1.15269
2003-11-09,1.15024,1.15337,1.14617,1.14777,1342233.502,1.14782
2003-11-10,1.14782,1.15294,1.14416,1.15190,1338507.4045,1.15194
2003-11-11,1.15194,1.16589,1.15015,1.16258,1345581.6114999999,1.16312
2003-11-12,1.16312,1.17364,1.16238,1.17298,1364546.8085000003,1.17309
2003-11-13,1.17309,1.18006,1.17254,1.17732,1356885.6154,1.17732
2003-11-14,1.17732,1.17732,1.17732,1.17732,0,1.17732
2003-11-16,1.17748,1.18474,1.17234,1.17445,1360615.6093,1.17463
2003-11-17,1.17463,1.19725,1.17311,1.19684,1356843.1835,1.19680
2003-11-18,1.19680,1.19767,1.18719,1.18732,1353714.6077,1.18734
2003-11-19,1.18734,1.19543,1.18699,1.19085,1362932.7948,1.19111
2003-11-20,1.19111,1.19369,1.18553,1.19126,1357570.2870000002,1.19126
2003-11-21,1.19126,1.19126,1.19126,1.19126,0,1.19126
2003-11-23,1.19068,1.19167,1.17544,1.17674,1327051.1992999997,1.17708
2003-11-24,1.17708,1.18175,1.17509,1.17889,1348492.6854999997,1.17886
2003-11-25,1.17886,1.19470,1.17676,1.19374,1357915.1016000002,1.19376
2003-11-26,1.19376,1.19400,1.18821,1.19045,1341720.6094999998,1.19052
2003-11-27,1.19052,1.20129,1.18959,1.19902,1346877.4083,1.19902
2003-11-28,1.19902,1.19902,1.19902,1.19902,0,1.19902
2003-11-30,1.19703,1.20392,1.19354,1.19779,1370321.3985,1.19804
2003-12-01,1.19804,1.20903,1.19391,1.20785,1348187.7033,1.20777
2003-12-02,1.20777,1.21255,1.20683,1.21067,1351593.8866,1.21074
2003-12-03,1.21074,1.21533,1.20286,1.20829,1347145.797,1.20805
2003-12-04,1.20805,1.21767,1.20601,1.21634,1342959.1934000002,1.21634
2003-12-05,1.21634,1.21634,1.21634,1.21634,0,1.21634
2003-12-07,1.21709,1.22376,1.21466,1.22154,1350333.2851999998,1.22157
2003-12-08,1.22157,1.22735,1.21851,1.22527,1349817.7892,1.22560
2003-12-09,1.22560,1.22639,1.21511,1.22130,1344737.5744,1.22135
2003-12-10,1.22135,1.22321,1.21113,1.22161,1361559.3086999997,1.22197
2003-12-11,1.22197,1.23047,1.22056,1.22730,1353278.9062999997,1.22730
2003-12-12,1.22730,1.22730,1.22730,1.22730,0,1.22730
2003-12-14,1.21403,1.23216,1.21273,1.23147,1348925.0939000002,1.23152
2003-12-15,1.23152,1.23584,1.22984,1.23292,1343390.5957999998,1.23275
2003-12-16,1.23275,1.24198,1.22939,1.24081,1365192.9045,1.24075
2003-12-17,1.24075,1.24369,1.23571,1.24217,1347459.8048999999,1.24204
2003-12-18,1.24204,1.24336,1.23408,1.23713,1341774.3946999998,1.23713
2003-12-19,1.23713,1.23713,1.23713,1.23713,0,1.23713
2003-12-21,1.24009,1.24447,1.23468,1.23930,1341984.9904000002,1.23932
2003-12-22,1.23932,1.24239,1.23803,1.23901,1340979.9082,1.23927
2003-12-23,1.23927,1.24688,1.23906,1.24434,1322394.0880999998,1.24432
