Local time,Open,High,Low,Close,Volume,Next Open
2003-07-03,350.026,351.061,349.824,350.233,5678072.0678,350.233
2003-07-04,350.233,350.233,350.233,350.233,0,350.163
2003-07-06,350.163,351.474,346.838,347.174,5452903.009199999,347.218
2003-07-07,347.218,348.033,342.763,343.560,6744279.0362,343.439
2003-07-08,343.439,345.474,342.712,343.605,6066785.9727,343.644
2003-07-09,343.644,345.380,341.251,344.294,6012560.941400002,344.112
2003-07-10,344.112,344.604,342.498,344.340,5777510.0284,344.340
2003-07-11,344.340,344.340,344.340,344.340,0,344.393
2003-07-13,344.393,347.347,343.281,346.355,5646014.9342,346.746
2003-07-14,346.746,348.731,342.692,342.885,6632149.905099998,342.783
2003-07-15,342.783,344.022,340.477,342.556,6047645.031299999,342.801
2003-07-16,342.801,344.597,341.657,343.184,5996569.9782,343.160
2003-07-17,343.160,346.766,342.413,346.422,5614827.959599999,346.422
2003-07-18,346.422,346.422,346.422,346.422,0,346.132
2003-07-20,346.132,351.486,345.755,350.721,5387952.9991000015,350.480
2003-07-21,350.480,352.316,348.811,350.096,6692507.945200001,350.122
2003-07-22,350.122,358.319,349.477,358.095,6704262.069499999,357.947
2003-07-23,357.947,361.963,355.993,361.945,7050217.0398,361.797
2003-07-24,361.797,362.968,358.815,362.029,6456124.0077,362.029
2003-07-25,362.029,362.029,362.029,362.029,0,361.764
2003-07-27,361.764,366.542,360.813,364.059,5405381.0725,364.012
2003-07-28,364.012,364.800,360.394,361.068,7162894.934200001,360.879
2003-07-29,360.879,361.342,354.374,355.222,6624611.0312,355.295
2003-07-30,355.295,357.045,353.035,353.692,6602335.992,353.696
2003-07-31,353.696,355.498,348.359,348.359,6100526.015299999,348.359
2003-08-01,348.359,348.359,348.359,348.359,0,348.095
2003-08-03,348.095,349.592,346.045,348.074,5747713.018099999,348.995
2003-08-04,348.995,351.336,347.648,350.833,9674203.014099995,351.175
2003-08-05,351.175,353.005,348.587,351.045,9412759.000400001,350.884
2003-08-06,350.884,353.345,348.690,352.395,9290175.0394,352.395
2003-08-07,352.395,357.195,351.675,356.295,8240266.9805999985,356.295
2003-08-08,356.295,356.295,356.295,356.295,0,355.795
2003-08-10,355.795,361.776,355.169,360.905,9181536.991200002,361.142
2003-08-11,361.142,361.714,357.436,357.522,10576057.003800001,357.995
2003-08-12,357.995,363.598,354.950,361.649,10860960.036600003,361.635
2003-08-13,361.635,366.595,359.359,365.495,10833028.8753,365.495
2003-08-14,365.495,366.415,362.247,363.295,7248631.0303,363.295
2003-08-15,363.295,363.295,363.295,363.295,0,362.350
2003-08-17,362.350,362.994,357.135,357.682,8520634.966599997,357.697
2003-08-18,357.697,362.198,355.427,361.595,9036887.0564,361.595
2003-08-19,361.595,366.295,360.667,365.795,10077847.074700003,365.360
2003-08-20,365.360,366.145,357.859,360.076,10390637.1389,360.194
2003-08-21,360.194,363.695,357.227,362.070,9528071.0011,362.070
2003-08-22,362.070,362.070,362.070,362.070,0,362.554
2003-08-24,362.554,363.395,359.705,360.795,9359760.0266,360.618
2003-08-25,360.618,365.498,358.387,363.627,10362361.021499999,363.995
2003-08-26,363.995,373.695,362.095,371.767,10990726.0836,371.916
2003-08-27,371.916,372.195,367.958,368.673,10931126.0061,369.195
2003-08-28,369.195,376.698,368.153,374.886,8374369.9492,374.886
2003-08-29,374.886,374.886,374.886,374.886,0,374.360
2003-08-31,374.360,378.095,373.256,375.095,6186312.030100001,374.624
2003-09-01,374.624,378.698,370.737,371.495,11092762.021499999,371.293
2003-09-02,371.293,375.098,368.794,373.193,10627427.9653,373.193
2003-09-03,373.193,374.395,368.956,372.499,10520912.0513,372.701
2003-09-04,372.701,378.298,369.536,376.692,8729371.9425,376.692
2003-09-05,376.692,376.692,376.692,376.692,0,376.577
2003-09-07,376.577,376.640,372.510,374.434,9455748.0944,374.534
2003-09-08,374.534,382.947,374.218,382.173,11444116.9724,381.569
2003-09-09,381.569,382.271,377.361,379.814,10696135.0291,379.614
2003-09-10,379.614,380.716,374.488,379.553,10381334.856099999,379.388
2003-09-11,379.388,381.055,374.098,374.798,8540155.9845,374.798
2003-09-12,374.798,374.798,374.798,374.798,0,374.844
2003-09-14,374.844,376.408,372.008,373.795,9495320.9814,373.308
2003-09-15,373.308,375.772,370.785,372.623,10216952.9945,372.459
