Local time,Open
5/4/2003,0
5/5/2003,0.003349542
5/6/2003,0.003414498
5/7/2003,-0.003694721
5/8/2003,0.01879403
5/9/2003,0.000353651
5/11/2003,0.000686932
5/12/2003,0.006407918
5/13/2003,-0.003992648
5/14/2003,0.008501554
5/15/2003,-0.002139436
5/16/2003,0.007662104
5/18/2003,0.004930771
5/19/2003,0.023523457
5/20/2003,0.010670007
5/21/2003,0.009915873
5/22/2003,-0.010469851
5/23/2003,-0.000511352
5/25/2003,0.001281755
5/26/2003,0.005506392
5/27/2003,-0.012436412
5/28/2003,-0.003325478
5/29/2003,0.001617483
5/30/2003,-0.002728008
6/1/2003,-0.003540991
6/2/2003,0.007898977
6/3/2003,-0.001431641
6/4/2003,-0.010507358
6/5/2003,0.016691646
6/6/2003,-0.010534519
6/8/2003,-0.000861979
6/9/2003,-0.00538857
6/10/2003,-0.025802965
6/11/2003,0.0074757
6/12/2003,-0.004215525
6/13/2003,0.00856882
6/15/2003,0.00084904
6/16/2003,0.006559026
6/17/2003,0.01191629
6/18/2003,-0.01618023
6/19/2003,0.010755853
6/20/2003,-0.013334332
6/22/2003,0.000351356
6/23/2003,-0.011171991
6/24/2003,-0.018388015
6/25/2003,0.006536534
6/26/2003,-0.013511609
6/27/2003,0.004690921
6/29/2003,-0.000832821
6/30/2003,0.003383431
7/1/2003,0.013792006
7/2/2003,5.71E-06
7/3/2003,-0.000659516
7/4/2003,0.000591385
7/6/2003,-0.000199867
7/7/2003,-0.008410369
7/8/2003,-0.010883652
7/9/2003,0.000596904
7/10/2003,0.001361874
7/11/2003,0.000662575
7/13/2003,0.000153918
7/14/2003,0.006832311
7/15/2003,-0.011429115
7/16/2003,5.25E-05
7/17/2003,0.001047255
7/18/2003,0.00950577
7/20/2003,-0.000837129
7/21/2003,0.012561682
7/22/2003,-0.001021456
7/23/2003,0.022349353
7/24/2003,0.010755782
7/25/2003,0.000641244
7/27/2003,-0.000731986
7/28/2003,0.006213996
7/29/2003,-0.008606859
7/30/2003,-0.01547333
7/31/2003,-0.004500486
8/1/2003,-0.015089229
8/3/2003,-0.000757839
8/4/2003,0.002585501
8/5/2003,0.006246508
8/6/2003,-0.000828647
8/7/2003,0.004306266
8/8/2003,0.011067126
8/10/2003,-0.001403332
8/11/2003,0.015028317
8/12/2003,-0.008714024
8/13/2003,0.01016774
8/14/2003,0.010673746
8/15/2003,-0.006019234
8/17/2003,-0.002601192
8/18/2003,-0.012841176
8/19/2003,0.010897491
8/20/2003,0.010412201
8/21/2003,-0.014139479
8/22/2003,0.005208304
8/24/2003,0.001336758
8/25/2003,-0.005339894
8/26/2003,0.00936448
8/27/2003,0.021761288
8/28/2003,-0.007316168
8/29/2003,0.015414618
8/31/2003,-0.001403093
9/1/2003,0.000705204
9/2/2003,-0.008891582
9/3/2003,0.005117252
9/4/2003,-0.001318353
9/5/2003,0.010708316
9/7/2003,-0.000305289
9/8/2003,-0.005425185
9/9/2003,0.018783341
9/10/2003,-0.005123582
9/11/2003,-0.000595342
9/12/2003,-0.012098432
9/14/2003,0.000122733
9/15/2003,-0.004097705
9/16/2003,-0.002274261
9/17/2003,0.009952773
9/18/2003,-0.000630041
9/19/2003,0.01385368
9/21/2003,-0.001986162
9/22/2003,0.014814133
9/23/2003,-0.004448014
9/24/2003,0.010660997
9/25/2003,-0.00900372
9/26/2003,-0.011691409
9/28/2003,0.000152472
9/29/2003,0.003211935
9/30/2003,0.008428571
10/1/2003,-0.002616298
10/2/2003,-0.003915204
10/3/2003,-0.034755547
10/5/2003,0
10/6/2003,0.00888931
10/7/2003,0.009361506
10/8/2003,-0.003195322
10/9/2003,-0.017132821
10/10/2003,0.011821031
10/12/2003,0.00129363
10/13/2003,0.002366804
10/14/2003,0.002264948
10/15/2003,-0.006699448
10/16/2003,-0.002546361
10/17/2003,-0.001163329
10/19/2003,-0.000153674
10/20/2003,0.004438344
10/21/2003,0.020099059
10/22/2003,0.01421872
10/23/2003,-0.004286511
10/24/2003,0.011062091
10/26/2003,-0.001270658
10/27/2003,-0.001068401
10/28/2003,-0.012800938
10/29/2003,0.009499484
10/30/2003,-0.008220222
10/31/2003,0.002692212
11/2/2003,-5.21E-06
11/3/2003,-0.01987941
11/4/2003,0.007322062
11/5/2003,0.00514337
11/6/2003,-0.0031338
11/7/2003,0.008168751
11/9/2003,-0.000263987
11/10/2003,0.007845875
11/11/2003,0.004682292
11/12/2003,0.015711335
11/13/2003,0.000920218
11/14/2003,0.008325143
11/16/2003,-0.001773188
11/17/2003,-0.015116534
11/18/2003,0.02040581
11/19/2003,-0.009282065
11/20/2003,-0.002085667
11/21/2003,0.004621929
11/23/2003,-0.000904966
11/24/2003,-0.01072521
11/25/2003,-0.000519184
11/26/2003,0.013109175
11/27/2003,-0.002828869
11/28/2003,0.007345529
11/30/2003,-0.001516226
12/1/2003,0.011062844
12/2/2003,0.002393596
12/3/2003,0.003438945
12/4/2003,-0.003808505
12/5/2003,0.008275022
12/7/2003,-0.000591681
12/8/2003,0.002101711
12/9/2003,0.002789019
12/10/2003,-0.005977382
12/11/2003,-0.001076719
12/12/2003,0.00964158
12/14/2003,-0.000494616
12/15/2003,0.002849122
12/16/2003,-0.007211274
12/17/2003,0.013479099
12/18/2003,-0.004459983
12/19/2003,-0.00280455
12/21/2003,0
12/22/2003,0.00057227
12/23/2003,0.002605516
12/24/2003,0.00251342
12/25/2003,-8.51E-05
12/26/2003,0.000462069
12/28/2003,6.56E-05
12/29/2003,0.004960976
12/30/2003,0.005666921
12/31/2003,-0.001854279
1/1/2004,-0.000330101
1/2/2004,0.00122443
1/4/2004,-0.002689007
1/5/2004,0.021531435
1/6/2004,-0.004213158
1/7/2004,-0.003125185
1/8/2004,0.006936477
1/9/2004,0.005654686
1/11/2004,0.002571673
1/12/2004,-0.005789007
1/13/2004,-0.000780607
1/14/2004,-0.01086859
1/15/2004,-0.025758006
1/16/2004,-0.004898383
1/18/2004,-0.001122329
1/19/2004,0.00188497
1/20/2004,0.013693812
1/21/2004,-0.006089646
1/22/2004,-0.001872261
1/23/2004,-0.003668397
1/25/2004,0
1/26/2004,-0.009484583
1/27/2004,0.015099099
1/28/2004,0.000483367
1/29/2004,-0.027655707
1/30/2004,0.008371582
2/1/2004,-0.000231443
2/2/2004,-0.009558564
2/3/2004,0.002337306
2/4/2004,0.003695866
2/5/2004,-0.010312317
2/6/2004,0.016104198
2/8/2004,0.000305552
2/9/2004,0.008500694
2/10/2004,-0.000760904
2/11/2004,0.011777115
2/12/2004,0.001417555
2/13/2004,-0.004446088
2/15/2004,0.000368905
2/16/2004,0.004217637
2/17/2004,0.009462595
2/18/2004,-0.011848062
2/19/2004,-0.002138133
2/20/2004,-0.030381584
2/22/2004,0.002109061
2/23/2004,0.001254727
2/24/2004,0.013063951
