CO2,b-1,b-2,b-3
-0.001248712,0.001618081,0.005019251,0.011217778
0.004424044,-0.001248712,0.001618081,0.005019251
-0.000478756,0.004424044,-0.001248712,0.001618081
-0.002168498,-0.000478756,0.004424044,-0.001248712
-0.00077677,-0.002168498,-0.000478756,0.004424044
0.012682552,-0.00077677,-0.002168498,-0.000478756
0.004959462,0.012682552,-0.00077677,-0.002168498
0.005218212,0.004959462,0.012682552,-0.00077677
-0.002134508,0.005218212,0.004959462,0.012682552
-0.009352032,-0.002134508,0.005218212,0.004959462
-0.001684229,-0.009352032,-0.002134508,0.005218212
0.012605442,-0.001684229,-0.009352032,-0.002134508
0.004571009,0.012605442,-0.001684229,-0.009352032
0.003827279,0.004571009,0.012605442,-0.001684229
-0.005337762,0.003827279,0.004571009,0.012605442
0.004523114,-0.005337762,0.003827279,0.004571009
0.000941252,0.004523114,-0.005337762,0.003827279
-0.008886893,0.000941252,0.004523114,-0.005337762
0.001743739,-0.008886893,0.000941252,0.004523114
-0.007560114,0.001743739,-0.008886893,0.000941252
-0.004453692,-0.007560114,0.001743739,-0.008886893
0.008567234,-0.004453692,-0.007560114,0.001743739
0.002106489,0.008567234,-0.004453692,-0.007560114
-0.006289093,0.002106489,0.008567234,-0.004453692
0.002510921,-0.006289093,0.002106489,0.008567234
0.011725451,0.002510921,-0.006289093,0.002106489
-0.001000415,0.011725451,0.002510921,-0.006289093
-0.000560115,-0.001000415,0.011725451,0.002510921
-0.000348145,-0.000560115,-0.001000415,0.011725451
-0.00254829,-0.000348145,-0.000560115,-0.001000415
-0.006310357,-0.00254829,-0.000348145,-0.000560115
-0.000848438,-0.006310357,-0.00254829,-0.000348145
-0.003207932,-0.000848438,-0.006310357,-0.00254829
-0.003106392,-0.003207932,-0.000848438,-0.006310357
-0.000768228,-0.003106392,-0.003207932,-0.000848438
-0.010409288,-0.000768228,-0.003106392,-0.003207932
0.003037789,-0.010409288,-0.000768228,-0.003106392
-0.004612506,0.003037789,-0.010409288,-0.000768228
-0.001975956,-0.004612506,0.003037789,-0.010409288
0.009811737,-0.001975956,-0.004612506,0.003037789
-0.002125463,0.009811737,-0.001975956,-0.004612506
-0.002103909,-0.002125463,0.009811737,-0.001975956
0.003589413,-0.002103909,-0.002125463,0.009811737
0.009705367,0.003589413,-0.002103909,-0.002125463
0.008571772,0.009705367,0.003589413,-0.002103909
0.003605861,0.008571772,0.009705367,0.003589413
0.000135902,0.003605861,0.008571772,0.009705367
