Local time,Open
9/10/2003,1.12032
9/11/2003,1.12024
9/12/2003,1.12883
9/14/2003,1.12675
9/15/2003,1.12771
9/16/2003,1.11712
9/17/2003,1.12773
9/18/2003,1.125
9/19/2003,1.13762
9/21/2003,1.14333
9/22/2003,1.14518
9/23/2003,1.14375
9/24/2003,1.14881
9/25/2003,1.14826
9/26/2003,1.14577
9/28/2003,1.14488
9/29/2003,1.1594
9/30/2003,1.16515
10/1/2003,1.17123
10/2/2003,1.16873
10/3/2003,1.1578
10/5/2003,1.15585
10/6/2003,1.17042
10/7/2003,1.17577
10/8/2003,1.18027
10/9/2003,1.17397
10/10/2003,1.17928
10/12/2003,1.18039
10/13/2003,1.1699
10/14/2003,1.17194
10/15/2003,1.16308
10/16/2003,1.1579
10/17/2003,1.16782
10/19/2003,1.17028
10/20/2003,1.16292
10/21/2003,1.16584
10/22/2003,1.17951
10/23/2003,1.17833
10/24/2003,1.17767
10/26/2003,1.17726
10/27/2003,1.17426
10/28/2003,1.16685
10/29/2003,1.16586
10/30/2003,1.16212
10/31/2003,1.15851
11/2/2003,1.15762
11/3/2003,1.14557
11/4/2003,1.14905
11/5/2003,1.14375
11/6/2003,1.14149
11/7/2003,1.15269
11/9/2003,1.15024
11/10/2003,1.14782
11/11/2003,1.15194
11/12/2003,1.16312
11/13/2003,1.17309
11/14/2003,1.17732
11/16/2003,1.17748
11/17/2003,1.17463
11/18/2003,1.1968
11/19/2003,1.18734
11/20/2003,1.19111
11/21/2003,1.19126
11/23/2003,1.19068
11/24/2003,1.17708
11/25/2003,1.17886
11/26/2003,1.19376
11/27/2003,1.19052
11/28/2003,1.19902
11/30/2003,1.19703
12/1/2003,1.19804
12/2/2003,1.20777
12/3/2003,1.21074
12/4/2003,1.20805
12/5/2003,1.21634
12/7/2003,1.21709
12/8/2003,1.22157
12/9/2003,1.2256
12/10/2003,1.22135
12/11/2003,1.22197
12/12/2003,1.2273
12/14/2003,1.21403
12/15/2003,1.23152
12/16/2003,1.23275
12/17/2003,1.24075
12/18/2003,1.24204
12/19/2003,1.23713
12/21/2003,1.24009
12/22/2003,1.23932
12/23/2003,1.23927
12/24/2003,1.24432
12/25/2003,1.24483
12/26/2003,1.24246
12/28/2003,1.24242
12/29/2003,1.24894
12/30/2003,1.25479
12/31/2003,1.25915
1/1/2004,1.2542
1/2/2004,1.25806
1/4/2004,1.25816
1/5/2004,1.2672
1/6/2004,1.2723
1/7/2004,1.2629
1/8/2004,1.27637
1/9/2004,1.28123
1/11/2004,1.28522
1/12/2004,1.27457
1/13/2004,1.2772
1/14/2004,1.2644
1/15/2004,1.25743
1/16/2004,1.23936
1/18/2004,1.2366
1/19/2004,1.2348
1/20/2004,1.2577
1/21/2004,1.26389
1/22/2004,1.27148
1/23/2004,1.25781
1/25/2004,1.25726
1/26/2004,1.24588
1/27/2004,1.26429
1/28/2004,1.24665
1/29/2004,1.24046
1/30/2004,1.24731
2/1/2004,1.2468
2/2/2004,1.24232
2/3/2004,1.25407
2/4/2004,1.25329
2/5/2004,1.25455
2/6/2004,1.27
2/8/2004,1.26038
2/9/2004,1.26954
2/10/2004,1.26682
2/11/2004,1.28319
2/12/2004,1.28061
2/13/2004,1.27305
2/15/2004,1.27428
2/16/2004,1.27679
2/17/2004,1.28395
2/18/2004,1.2686
2/19/2004,1.27112
2/20/2004,1.25319
2/22/2004,1.25247
2/23/2004,1.25552
2/24/2004,1.26822
2/25/2004,1.24982
2/26/2004,1.24361
2/27/2004,1.24887
2/29/2004,1.2482
3/1/2004,1.24539
3/2/2004,1.22121
3/3/2004,1.22009
3/4/2004,1.21985
3/5/2004,1.23642
3/7/2004,1.23857
3/8/2004,1.2402
3/9/2004,1.23226
3/10/2004,1.222
3/11/2004,1.23481
3/12/2004,1.22145
3/14/2004,1.21887
3/15/2004,1.22606
3/16/2004,1.22709
3/17/2004,1.2231
3/18/2004,1.23837
3/19/2004,1.22829
3/21/2004,1.22754
3/22/2004,1.23289
3/23/2004,1.23354
3/24/2004,1.21322
3/25/2004,1.2126
3/26/2004,1.21272
3/28/2004,1.21078
3/29/2004,1.21544
3/30/2004,1.21706
3/31/2004,1.2313
4/1/2004,1.23602
4/2/2004,1.21305
4/4/2004,1.21076
4/5/2004,1.20118
4/6/2004,1.21096
4/7/2004,1.21684
4/8/2004,1.20795
4/9/2004,1.20858
4/11/2004,1.20857
4/12/2004,1.20734
4/13/2004,1.194
4/14/2004,1.19547
4/15/2004,1.1978
4/16/2004,1.19886
4/18/2004,1.19989
4/19/2004,1.20175
4/20/2004,1.18621
4/21/2004,1.18341
4/22/2004,1.18985
4/23/2004,1.18415
4/25/2004,1.18177
4/26/2004,1.18606
4/27/2004,1.19193
4/28/2004,1.18322
4/29/2004,1.19557
4/30/2004,1.1977
5/2/2004,1.1977
5/3/2004,1.19428
5/4/2004,1.2092
5/5/2004,1.21713
5/6/2004,1.208
5/7/2004,1.18782
5/9/2004,1.18648
5/10/2004,1.18477
5/11/2004,1.18661
5/12/2004,1.1893
5/13/2004,1.18133
5/14/2004,1.18825
5/16/2004,1.18832
5/17/2004,1.20218
5/18/2004,1.1946
5/19/2004,1.20052
5/20/2004,1.19577
5/21/2004,1.19801
5/23/2004,1.19817
5/24/2004,1.19978
5/25/2004,1.2105
5/26/2004,1.2101
5/27/2004,1.22554
5/28/2004,1.22118
5/30/2004,1.22304
5/31/2004,1.21824
6/1/2004,1.2241
6/2/2004,1.22071
6/3/2004,1.22245
6/4/2004,1.22817
6/6/2004,1.22867
6/7/2004,1.23134
6/8/2004,1.22614
6/9/2004,1.20418
6/10/2004,1.2102
6/11/2004,1.20038
6/13/2004,1.1996
6/14/2004,1.2051
6/15/2004,1.21578
6/16/2004,1.2006
6/17/2004,1.20493
6/18/2004,1.21343
6/20/2004,1.21308
6/21/2004,1.21073
6/22/2004,1.21052
6/23/2004,1.20867
6/24/2004,1.2164
6/25/2004,1.2172
6/27/2004,1.2173
6/28/2004,1.21795
6/29/2004,1.20775
6/30/2004,1.21938
7/1/2004,1.21507
7/2/2004,1.23105
7/4/2004,1.23205
7/5/2004,1.22832
7/6/2004,1.22757
7/7/2004,1.23659
7/8/2004,1.23782
7/9/2004,1.24104
7/11/2004,1.2406
7/12/2004,1.24039
7/13/2004,1.23193
7/14/2004,1.2376
7/15/2004,1.23505
7/16/2004,1.24518
7/18/2004,1.24412
7/19/2004,1.24353
7/20/2004,1.23224
7/21/2004,1.22507
7/22/2004,1.22483
7/23/2004,1.20897
7/25/2004,1.20932
7/26/2004,1.21363
7/27/2004,1.20513
7/28/2004,1.20508
7/29/2004,1.20373
7/30/2004,1.20165
8/1/2004,1.20169
8/2/2004,1.20188
8/3/2004,1.20526
8/4/2004,1.2047
8/5/2004,1.2052
8/6/2004,1.22784
8/8/2004,1.22805
8/9/2004,1.22652
8/10/2004,1.22305
8/11/2004,1.22102
8/12/2004,1.22478
8/13/2004,1.23704
8/15/2004,1.23668
8/16/2004,1.23564
8/17/2004,1.2352
8/18/2004,1.23281
8/19/2004,1.23592
8/20/2004,1.23153
8/22/2004,1.23088
8/23/2004,1.2138
8/24/2004,1.20742
8/25/2004,1.20767
8/26/2004,1.20953
8/27/2004,1.20074
8/29/2004,1.20061
8/30/2004,1.2042
8/31/2004,1.21785
9/1/2004,1.21822
9/2/2004,1.21702
9/3/2004,1.20558
9/5/2004,1.20558
9/6/2004,1.20588
9/7/2004,1.21062
9/8/2004,1.21739
9/9/2004,1.22067
9/10/2004,1.22572
9/12/2004,1.2257
9/13/2004,1.22568
9/14/2004,1.22458
9/15/2004,1.2146
9/16/2004,1.21752
9/17/2004,1.21846
9/19/2004,1.21749
9/20/2004,1.21708
9/21/2004,1.23318
9/22/2004,1.22637
9/23/2004,1.22643
9/24/2004,1.22723
9/26/2004,1.22742
9/27/2004,1.2289
9/28/2004,1.23188
9/29/2004,1.23285
9/30/2004,1.2433
10/1/2004,1.24135
10/3/2004,1.23879
10/4/2004,1.22847
10/5/2004,1.23051
10/6/2004,1.22785
10/7/2004,1.22797
10/8/2004,1.24062
10/10/2004,1.24112
10/11/2004,1.23803
10/12/2004,1.23203
10/13/2004,1.23437
10/14/2004,1.2379
10/15/2004,1.24655
10/17/2004,1.24713
10/18/2004,1.2487
10/19/2004,1.25048
10/20/2004,1.25821
10/21/2004,1.26122
10/22/2004,1.26812
10/24/2004,1.26911
10/25/2004,1.28011
10/26/2004,1.27599
10/27/2004,1.27054
10/28/2004,1.27395
10/29/2004,1.27942
10/31/2004,1.27997
